Chapter,Kind,Question,Answer
?Genesis from 20?,Normal trivia,Yosef asks the minister who solved his dream for good to remember him and try to get him out of the house,"The third day, Pharaoh's birthday."
?Genesis Ma A?,Normal trivia,Pharaoh carried the head of his slaves in,End of two years and days
?Genesis Ma A?,Normal trivia,Pharaoh dreamed his dream,Standing on the light.
Genesis 2:6?,Normal trivia,In his dream Pharaoh saw that he,Degree beauty and meat health
Genesis Ma?,Normal trivia,The following descriptions are related to the pharaoh's dream. The exception is,Health and beauty
?In Genesis Ma Ked?,Normal trivia,The following descriptions are related to the pharaoh's dream. The exception is,Prows
?Genesis Ma T?,Normal trivia,"The following people tried to solve Pharaoh's dream, but without success. The exceptions are",Butler
?Genesis Ma 16?,Normal trivia,About Joseph's ability to solve dreams from a story told to Pharaoh,God will answer Pharaoh's peace
"In the beginning, Ma La, Lo?",Normal trivia,"According to Pharaoh to Joseph I heard you say, will you hear a dream to solve it and Joseph answers the things",Appoint a wise and wise man over Egypt? ?And appoint officials over the land.
"?Genesis Ma Lat,?",Normal trivia,"The following matters are related to Joseph's proposals to Pharaoh, the exceptions to the rule are",Viceroy
"?Genesis Ma Meb, Mag?",Normal trivia,"The following titles are related to Joseph's rise to greatness, the exception is he","The king's crown, the scepter"
In the beginning what?,Normal trivia,"The following details were made to Yosef on the day of his ascension to greatness, the exceptions to the rule are",Encryption and decryption.
In the beginning what?,Normal trivia,Pharaoh calls Joseph's name,Potipra Cohen On
Genesis Ma Mo?,Normal trivia,Yosef's wife Asnat was the daughter of,Thirty years
?Genesis Ma Mat?,Normal trivia,Joseph stood before Pharaoh when he was a boy,A lot of sea blue.
?Genesis Mb 3?,Normal trivia,Description of the amount of food the bar that Yosef collected is,Ten
?Genesis Mv 6?,Normal trivia,The number of my brothers Yosef who went down to break a bar from Egypt was,Known throughout the land of Egypt
?Genesis Mv 6?,Normal trivia,"The following titles are Yosef's titles during the famine years, the exception is he",His noses bowed to the ground.
(Genesis 22:24)?,Normal trivia,For how many days did Yosef put his brother in guard,Freed all the brothers except Shimon? ?Whom he imprisoned until the arrival of Benjamin.
(Genesis 22:21)?,Normal trivia,In what way did Joseph make sure that Benjamin would indeed come to him in Egypt,The regret of my brother Yosef for having harmed him? ?And sold him as a slave.
(Genesis 22:23)?,Normal trivia,Did you regret that the scripture that we saw was distressed by his soul pleading with us and we did not hear it was said in connection with,Because he recommended in their understanding.
(Genesis 22:25)?,Normal trivia,The correct continuation of the scripture: And they did not know that Joseph was listening,Give fodder to their donkeys.
(Genesis 22:27)?,Normal trivia,Which of the following commands did Joseph not say regarding his brother,In the hotel.
(Genesis 22:28)?,Normal trivia,Where did one of the brothers find out that his money was returned to the bank,They were afraid.
(Genesis 13:11)?,Normal trivia,How did the brothers react when they found out that their money was returned to them,Walnuts and dates.
(Genesis 13:12)?,Normal trivia,Which of the following gifts did Jacob not tell his sons to bring to Joseph,Substitute money.
(Genesis 13:16)?,Normal trivia,"In addition to the offering that includes food, what else does Jacob command his sons to bring to Joseph",Lunch.
(Genesis 13:18)?,Normal trivia,Joseph invited his brother to his house for dinner,He brought us to put us under guard? ?And abuse us.
(Genesis 13:32)?,Normal trivia,Which of the following sentences did not cross the minds of the brothers when they were brought to Beit Yosef,Because it is an abomination to Egypt.
"(Genesis 33, 34)?",Normal trivia,Is the correct continuation of the scripture that the Egyptians will not be able to eat the Hebrews bread,Five hands.
"(Genesis 33, 34)?",Normal trivia,How much more was Binyamin's burden than everyone else's burden,Drink and get drunk with him
(Genesis 4:2)?,Normal trivia,At the feast that Yosef held in honor of his brother they,I am the little one.
(Genesis 4:3)?,Normal trivia,Yosef commanded the man in his house to put his silver cup in,The morning light.
(Genesis 4:4)?,Normal trivia,The time when my brother Yosef was sent was,They left the city and did not go far.
(Genesis 14:10)?,Normal trivia,Yosef ordered the man who was in his house to chase after the people after that,He will have a slave and they will be clean.
(Genesis 4:5)?,Normal trivia,"According to the person in charge of Beit Yosef, what will happen to whoever finds the cup in his possession",Drinks in it and guesses in it.
(Genesis 14:12)?,Normal trivia,The cup is important to Yosef because it is,In a big way he started and in a concrete bride.
(Genesis 35:3)?,Normal trivia,The order of the search by the supervisor of Beit Yosef at Ha Chaim was,Because they were afraid of him.
(Genesis 15:7-? 8)?,Normal trivia,"The scripture says that when Yosef was introduced to his brothers, his brothers could not torture him, what was the reason",To the adviser of the land of Egypt
(Genesis 35:9-? 10)?,Normal trivia,Which of the following sentences did Joseph not tell his brothers when they were introduced to them about the roles,Land of Goshen.
(Genesis 15:19)?,Normal trivia,Yosef invites his father to sit in the,Carts.
"(Genesis 15, 22-? 23)?",Normal trivia,"In order to bear their burden and their wives, what does Joseph give to his brothers according to Pharaoh",Ten camels loaded with good things.
(Genesis 15:24)?,Normal trivia,Which of the following gifts did Yosef not give to his father and brothers,Don't get angry on the way.
(Genesis 36:1)?,Normal trivia,What does Joseph say to his brothers when he says goodbye to them,Beer Sheva.
(Genesis 36:2)?,Normal trivia,Where did Jacob sacrifice to her on his way to Egypt,Mirror of the night.
(Genesis 36:27)?,Normal trivia,What did God look like to Jacob after he sacrificed a sea sacrifice on his way to Egypt,Seventy souls.
(Genesis 36:28)?,Normal trivia,What is the number of all the descendants of Jacob's thigh coming down from Egypt,Yehuda.
(Genesis 36:28)?,Normal trivia,Who was the first to come forward to inform Joseph of his father's arrival,Goshen.
"(Genesis 36, 33-? 34)?",Normal trivia,Where was the reunion between Joseph and his father held,People of Makana
(Genesis 17:2)?,Normal trivia,"President, when Pharaoh asked Joseph's brothers what their deeds were, Joseph asked them to say that they were",Five people.
(Genesis 17:6)?,Normal trivia,How many brothers did Joseph take to present before Pharaoh,Shri Makana on Asher to him.
(Genesis 37:9)?,Normal trivia,"Pharaoh's army chiefs ask Yosef if he knows there are soldiers among his brothers, should he put them",One hundred and thirty years.
(Genesis 37:11)?,Normal trivia,How old was Jacob when he stood before Pharaoh,Land of Ramses.
"(Genesis 17, 16-20)?",Normal trivia,What is the synonym of the land of Goshen,Camels.
(Genesis 37:21)?,Normal trivia,"Horses, Maknaha Which of the following things did the Egyptians not bring to Joseph in exchange for bread",The transfer of the people to the cities.
(Genesis 17:22)?,Normal trivia,What is written from the edge of the border of the Strait of Yam to its edge is said in connection with,The land of the priests.
(Genesis 17:24)?,Normal trivia,What land is the only one that was not sold to Pharaoh for bread,Give Pharaoh a fifth of the grain.
(Genesis 17:28)?,Normal trivia,"According to the law that Joseph put on Egypt, how much should be set aside from the produce of the land",Seventeen years.
(Genesis 17:28)?,Normal trivia,How many years did Jacob live in Egypt,One hundred and forty-seven years.
(Genesis 18:1)?,Normal trivia,How many years of Jacob's life were there,Jacob is sick.
(Genesis 18:13)?,Normal trivia,"Yosef takes his two sons with him to visit his father, for what reason",Ephraim in our days is on the left of Israel and you are? ?Manasseh on his left on the right of Israel.
(Genesis 18:14)?,Normal trivia,The correct continuation of the scripture and Yosef took them both is,Israel put his right hand on the head of Ephraim? ?And his left hand on the head of Manasseh.
(Genesis 39:1)?,Normal trivia,The meaning of the scripture with all his hands is,In the last days.
(Genesis 39:3)?,Normal trivia,After the right continuation of the scripture gather and I will tell you what he will call you,Fire.
(Genesis 39:5-? 7)?,Normal trivia,Which of the things mentioned below was not said in Jacob's blessing to Reuven,Wolf
(Genesis 39:8-? 12)?,Normal trivia,The following details are taken from Jacob's blessing to Shimon and Levia. Is he an exception,Yehuda
(Genesis 39:13)?,Normal trivia,"Levi, Gefen, Sorka, the details given in parentheses are taken from Yaakov Lin's blessing, grapes, milk",Plenty of days will be cleaned
(Genesis 39:14-15)?,Normal trivia,"The following details below are given in Jacob's blessing to Zebulon, the exception to the rule is",Sand hidden lipsticks
"(Genesis 39, 16-17)?",Normal trivia,The details given below are taken from Yaakov's blessing to Lishachar. The exception to the rule is,Lion cub
(Genesis 39:19)?,Normal trivia,The following details were said in Jacob's blessing to Dana. Is he an exception,Gad
(Genesis 39:20)?,Normal trivia,The word Aqab was said in Jacob's blessing to,Which
(Genesis 39:21)?,Normal trivia,Madani Melech was told in Jacob's blessing to,Naphtali
"(Genesis 39, 22-? 26)?",Normal trivia,Shaffer's sayings were said in Jacob's blessing to,Magged Teboot Sunsh
(Genesis 39:27)?,Normal trivia,The details given below were said in Jacob's blessing to Yosefah. Is he an exception to the rule,Benjamin
(Genesis 39:31)?,Normal trivia,It is written in the morning he will eat until and in the evening he will divide the spoil is said in Jacob's blessing to,"Abraham and Sarah, Isaac and Rebekah, Jacob and Leah"
(Genesis 39:33)?,Normal trivia,Are they buried in the Cave of the Patriarchs,And he will gather his feet to the bed and mourn and gather? ?to his people
(Genesis 9:2)?,Normal trivia,Was it said about Jacob,To embalm his father
(Genesis 9:3)?,Normal trivia,Joseph commanded his servants the doctors,Forty days
(Genesis 9:3)?,Normal trivia,Are the days of embalming continued,Seventy days
(Genesis 9:5)?,Normal trivia,Did the Egyptians cry for Jacob,Swear him to his grave in the land of Canaan
(Genesis 9:7-9)?,Normal trivia,Joseph tells Pharaoh's house that his father,The whole house of Joseph and his brothers and his father's house and their sheep? ?And their flocks and herds
(Genesis 9:10-11)?,Normal trivia,The details given below are related to Jacob's funeral from Egypt to the land of Canaan. The exception is,Goren Hated
(Genesis 9:16)?,Normal trivia,The place where they made a great obituary for Jacob and mourned for seven days is named after the mourner but his name,Will Joseph punish them for all the evil that? ?They did to him.
"(Genesis 9, 24)?",Normal trivia,"After Jacob's death, my brother Yosef feared that",A command will God command you and you raised? ?My bones from it.
"(Genesis 9, 26)?",Normal trivia,Joseph's oath to his brother before his death was,One hundred and ten years
(Genesis 29:32)?,Match the verse to the person,This time a personal junkie,Reuben
(Genesis 30:20)?,Match the verse to the person,"In front of you are verses related to different personalities in the book of Genesis, write next to each verse the",Zebulon
"(Genesis 5, 29)?",Match the verse to the person,This time a personal junkie,Rest
"(Genesis 1, 2)?",Match the verse to the person,This will comfort us from our actions and irritate our hand,Ephraim
(Genesis 25:26)?,Match the verse to the person,Because God blessed me in a poor land,Jacob
(Genesis 29:33)?,Match the verse to the person,Is his hand holding Esau's heel,Shimon
(Genesis 3:12)?,Match the verse to the person,Hear that you hate me,Which
(Genesis 4:25)?,Match the verse to the person,Ashari because I have girls' visas,Six
(Genesis 29:34)?,Match the verse to the person,Because God gave me another seed,Levi
"(Genesis 3, 24)?",Match the verse to the person,This time he will accompany El Y personally,Yosef
(Genesis 32:28)?,Match the verse to the person,Yosef has another son,Israel
(Genesis 29:35)?,Match the verse to the person,Because you have lived with Gods and with people and you can,Yehuda
(Genesis 38:29)?,Match the verse to the person,This time I will thank the,Breach
(Genesis 3:11)?,Match the verse to the person,What did you break out of,Gad
(Genesis 4:1)?,Match the verse to the person,Garment,Cain
(Genesis 11:11)?,Match the verse to the person,Did I buy anyone the,Manasha
(Genesis 39:19)?,Match the verse to the person,Because God will make all my labors,Gad
(Genesis 35:18)?,Match the verse to the person,Yegodnou battalion,Benjamin
(Genesis 39:14)?,Match the verse to the person,Oni's son,Yishsachar
(Genesis 3:6)?,Match the verse to the person,Donkey gram,Dan
(Genesis 39:27)?,Match the verse to the person,Danny Elkim and also heard in my voice,Benjamin
(Genesis 3:16)?,Match the verse to the person,Will a wolf prey,Reuben
(Genesis 39:21)?,Match the verse to the person,"Rent your rent in Dodai, my son",Naphtali
"(Genesis 3, 8)?",Match the verse to the person,A cantilever doe,Naphtali
(Genesis 39:20)?,Match the verse to the person,Naftoli Alkim Naftali,Which
(Genesis 39:5)?,Match the verse to the person,His bread fat,Shimon and Levi
(Genesis 39:9)?,Match the verse to the person,Hamas vessels from their mines,Yehuda
(Genesis 39:17)?,Match the verse to the person,Lion cub,Dan
(Genesis 39:4)?,Match the verse to the person,Guess me a way,Reuben
(Genesis 39:22)?,Match the verse to the person,Faz like water,Yosef
"?Genesis 6, 4.?",Identify the personalities,Did you like it,The Fallen
"Genesis 4, 22",Identify the personalities,"Who are the heroes of the world, the people of God",Cain
Genesis 4:20,Identify the personalities,Polishing every copper and iron grove,Yavel
"?Genesis 4, 14.?",Identify the personalities,Sitting in a tent and buying,Cain
Genesis 4:21,Identify the personalities,Moving and moving in the country,Jubilee
Genesis 6:9,Identify the personalities,Take every violin and organ,Rest
"Genesis 14, 18?",Identify the personalities,Tamim was innocent in his generations,"Kings of justice, a complete king"
"Genesis 16, 12.?",Identify the personalities,Took out bread and wine,Ishmael
Genesis 18:8?,Identify the personalities,His hand in everything and his hand in everything,Abraham
Genesis 21:19?,Identify the personalities,Standing on them under the tree,Move
Genesis 24:15? Genesis 24:15.,Identify the personalities,Did God open her eyes,Rebecca
"Genesis 24, 31?",Identify the personalities,Kade on a in Shechem,White
"Genesis 25, 25.?",Identify the personalities,Welcome,Did
"Genesis 34, 19?",Identify the personalities,Was it all like a gate,Naples ben Hamor
"Genesis 37, 19.?",Identify the personalities,Honorable from all his father's house,Yosef
"Genesis 39, 12?",Identify the personalities,The owner of dreams,Potifer's wife
"Genesis 1, 8",Identify the personalities,Did you catch him in his clothes,Pharaoh
"Genesis 35, 8",Identify the personalities,And his spirit is broken,Bumblebee
"Genesis 29, 22?",Identify the personalities,Is Rebecca breastfeeding,White
"Genesis 36, 12.?",Identify the personalities,Gathered all the people of his place and made a feast,Avoid
Genesis 1:9?,Identify the personalities,Did Eliphaz ben Esau have a mistress,Butler
"Genesis 21, 32?",Identify the personalities,Mentioned his sins,Abimelech
"Genesis 18, 12.?",Identify the personalities,Did you make a covenant with Isaac,Sarah
Genesis 29:9?,Identify the personalities,Did you laugh nearby,Rachel
"Genesis 13, 12-?",Identify the personalities,Did she tend her father's sheep,"Sarai, his wife"
"Genesis 14, 13?",Identify the personalities,Sitting among bad and sinful people,The refugee
"Genesis 26, 19.?",Identify the personalities,Tell Abraham that his brother's son Lot was taken captive,Abdi Yitzchak
Genesis 28:20,Identify the personalities,Found a well of living water,Jacob
"?Genesis 3, 7.?",Identify the personalities,Vow a vow,Blah
Genesis 30:10,Identify the personalities,Rachel's maid,Zelpa
"Genesis 1, 9",Identify the personalities,Did you go out to see the Haaretz girls,Esnet
Genesis 37:21?,Identify the personalities,Cohen On's daughter,Reuben
Genesis 3:22,Identify the personalities,Wanted to save his brother,Butler
"?Genesis 1, 2.?",Yes No questions,Didn't remember Yosef,Yes
"Genesis 1, 21-23",Yes No questions,Did God give the lights in the firmament of the sky to light the sky,No
"?Berashita', 27.?",Yes No questions,Were the large crocodiles created on the sixth day,No
Genesis 4:26,Yes No questions,Male and female did he create them? Was it said about the cattle and the animals of the field,Yes
Genesis 8:11,Yes No questions,"In the days of Enosh, did it begin to be called in the name of Hashem",Yes
Genesis 15:10,Yes No questions,The dove returned to Noah with olive leaves in its mouth,No
"Genesis 15, 17.?",Yes No questions,And the bird cut,No
Genesis 21:14?,Yes No questions,A smoke furnace and a torch of fire in the overthrow of Sodom and Gomorrah,Yes
"Genesis 21, 25?",Yes No questions,Did the Hagar get lost in the Beer Sheva desert,Yes
"Genesis 24, 33?",Yes No questions,Did Abraham prove to Abimelech about the water well,No
"Genesis 27, 21?",Yes No questions,Eliezer said he wouldn't speak until he finished eating,No
Genesis 32:25?,Yes No questions,"Yitzchak said to Esau, please come and I will prolong my son",Yes
"Genesis 32, 33?",Yes No questions,Jacob wrestled with the man until sunrise,Yes
Genesis 32:25?,Yes No questions,The Israelites don't eat the sinew of the woman,Yes
"Genesis 1, 2",Yes No questions,Did the midwife bind two by Zarakh's hand,No
Genesis 2:9?,Yes No questions,Pharaoh removed his crown from his head and put it on Joseph's head,No
"Genesis 3:3, 3.?",Yes No questions,Did Joseph remind his brothers of the dreams he had for them,Yes
"Genesis 33, 32?",Yes No questions,"When Joseph's mercy was extended to his brother, he went to cry in his room",Yes
Genesis 5:22,Yes No questions,The Egyptians do not eat bread with the Hebrews because it is an abomination to the Egyptians,No
Genesis 36:17?,Yes No questions,Joseph gave five suits of dresses to each of his brothers,No
"Genesis 9, 5-6",Yes No questions,Naftali Sarach's daughter's name,No
"Genesis 9, 23.?",Yes No questions,Joseph swore to Pharaoh to allow him to go up to bury his father,Yes
"Genesis 9, 26.?",Yes No questions,Joseph considered Ephraim thirty years old,Yes
Genesis 3:1,Yes No questions,Did they embalm Joseph and put him in a coffin in Egypt,No
"Genesis 29, 24?",Yes No questions,Rachel was happy when sons were born to her sister Leah,Yes
"Genesis 25, 28.?",Yes No questions,Zelpa was Leah's slave,No
?Genesis 24:3.?,Yes No questions,Did Isaac love Esau because he was a tent dweller,Yes
"Genesis 21, 33?",Yes No questions,Eliezer stood on the camels on the eye,No
Genesis 21:14?,Yes No questions,Abraham Neta Eshel in Hebron,No
"Genesis 19, 34?",Yes No questions,Did the migrant get lost in the Judean desert,Yes
Genesis 19:23?,Yes No questions,Lot's daughters watered their father with wine,Yes
"Genesis 19, 11.?",Yes No questions,The sun came out on the earth when Lot left Sodom,No
"Genesis 14, 19.?",Yes No questions,All the people of Sodom were beaten with snores,Yes
Genesis 9:18,Yes No questions,Blessing of the Kings of Righteousness King Shalom to Abraham Baruch Abram to God Most High,No
Genesis 7:8?,Yes No questions,Was Canaan the son of Noah,Yes
"Genesis 4, 6",who told whom,Pharaoh asked Jacob how many Mondays he lived,God to Cain
"Genesis 12, 10, 8.?",who told whom,Why did you regret and why did your face fall,Pharaoh to Abraham
Genesis 4:13?,who told whom,I saw you righteous before in this generation,Cain to God
"Genesis 4, 23.?",who told whom,Too much wickedness,Lemach to his wives
Genesis 12:1,who told whom,For my listening voice I said,God to Abraham
Genesis 12:11,who told whom,Go away from your country and your homeland and your father's house,Abraham to Sarah
Genesis 20:9?,who told whom,A beautiful woman shows you,Abimelech to Abraham
"Genesis 24, 31?",who told whom,Because you brought a great sin on me and my kingdom,White to Eliezer
Genesis 13:8?,who told whom,Why didn't you tell me that your wife is,Abraham Lalot
Genesis 14:21?,who told whom,Are we brotherly people,King of Sodom to Abraham
Genesis 14:23?,who told whom,Give me the soul and take the property for you,Abraham to the king of Sodom
Genesis 20:12,who told whom,If from a thread to a shoelace,Abraham to Abimelech
Genesis 16:5,who told whom,My sister is my father's daughter but not my mother's daughter,Sarah to Abraham
"Genesis 19, 14.?",who told whom,Will God judge between me and you,Lot for his in-laws
Genesis 15:2,who told whom,Get up and get out of this place,Abraham to God
Genesis 17:8?,who told whom,What will you give me and I will walk away,God's angel to migrate
Genesis 22:5,who told whom,Where did you come from and Anna will you go,Abraham to his boys
"Genesis 24, 31?",who told whom,Do you sit here with the donkey,White to Eliezer
Genesis 27:2,who told whom,Why would you stand outside,Ishaq to his actions
Genesis 27:8?,who told whom,I didn't know the day of my death,Rebecca for Jacob
Genesis 27:20,who told whom,Hear my voice confirm I command you,Ishaq to his actions
Genesis 27:36,who told whom,Because the cold God before,Esio Isaac
Genesis 28:16?,who told whom,Did you give me a blessing,God for Jacob
"Genesis 29, 19?",who told whom,And your guard wherever you go,White to Jacob
Genesis 3:1,who told whom,"Well, give her to you, did I give her to someone else",Rachel to Jacob
"Genesis 44, 21.?",who told whom,Let me have boys,Hamor and Nablus were sons of their city
"Genesis 1, 39.?",who told whom,Are these people whole with us,Pharaoh to Joseph
"Genesis 2, 16?",who told whom,Is there no one as wise and smart as you,Yosef to his brother
Genesis 3:6?,who told whom,Will you test with this,Jacob to his sons
"Genesis 33, 17.?",who told whom,Why did you hurt me,Yosef approve of his house
Genesis 33:29?,who told whom,And cook cook and ready,Yosef to Benjamin
Genesis 7:16?,who told whom,Will God educate my son,The Egyptians to Joseph
Genesis 8:19?,who told whom,Why will we die against you,Yaakov to Yosef
Genesis 7:9?,who told whom,"I knew, my son, did I know",Jacob to Pharaoh
"Genesis 5, 24?",About whom/what was said,Few and bad were the second days of my life,Enoch
Genesis 9:25?,About whom/what was said,Is he gone because God took him,Canaan
"Genesis 13, 13?",About whom/what was said,Will a slave be a slave to his brother,People of Sodom
"Genesis 16, 12?",About whom/what was said,Bad and very bad for her,Ishmael
Genesis 9:3?,About whom/what was said,And he will be a wild man,Animals
Genesis 9:13?,About whom/what was said,Like a weed I gave you everything,The rainbow
Genesis 9:21?,About whom/what was said,And was there a sign of a covenant between me and the land,Rest
"Genesis 25, 27?",About whom/what was said,And drink of the wine and get drunk,Jacob
Genesis 37:3?,About whom/what was said,Ish Tam sits in tents,Yosef
"Genesis 26, 29?",About whom/what was said,And pour oil on her,Isaac
"Genesis 28, 12?",About whom/what was said,Are you blessed now,Ladder
"Genesis 29, 31-33",About whom/what was said,Stationed on the ground and his head reaches the sky,Leah
Genesis 33:10?,About whom/what was said,Hate,Esau
"?Genesis 34, 2.?",About whom/what was said,Because that's why I saw your face as I saw the face of God and you wanted me,In Shechem
"Genesis 28, 17?",About whom/what was said,The president of the country,House of God
Genesis 3:13?,About whom/what was said,What the hell is this place,Butler
"Genesis 1, 39?",About whom/what was said,And answered you right,Bar
Genesis 3:10?,About whom/what was said,The blue of the sea is so much that it stopped counting because there is no number,Vine
Genesis 3:17?,About whom/what was said,And as a flower rose a feather,The chicken
"Genesis 2, 6?",About whom/what was said,Do I eat them from the basket above my head,Ed
Genesis 3:18?,About whom/what was said,Will come up from the earth and water the whole face of the earth,The land
Genesis 6:17?,About whom/what was said,And will thorns and thistles grow on you,Ark
Genesis 9:27?,About whom/what was said,Two and a third bottoms will you do,Jephth
Genesis 10:25?,About whom/what was said,And live in my home there,Faction
Genesis 11:6?,About whom/what was said,In his day was divided,Sailing generation
"Genesis 12, 14?",About whom/what was said,One nation and one language for all,Sarah
Genesis 13:10?,About whom/what was said,Is she very beautiful,Sodom
Genesis 15:2?,About whom/what was said,As the Garden of God as the land of Egypt,Eliezer
Genesis 19:9?,About whom/what was said,Household member,People of Sodom
Genesis 24:9?,About whom/what was said,The one comes to live and judge a judge,Rebecca
Genesis 31:7?,About whom/what was said,"Our sister, are you hi to Alfie Rabba",White
Genesis 32:29?,About whom/what was said,Changed my salary for tens of thousands,Israel
"?Genesis 4th, 5th?",About whom/what was said,Because you have lived with Gods and with people and you can,Silver Cup
